iter	Passed	Remaining
0	136	136178
1	138	69153
2	140	46811
3	142	35569
4	144	28781
5	146	24265
6	148	21017
7	149	18586
8	151	16688
9	153	15164
10	154	13910
11	156	12894
12	158	12000
13	159	11241
14	161	10596
15	162	10012
16	164	9525
17	166	9075
18	168	8679
19	169	8317
20	171	7978
21	172	7676
22	174	7392
23	175	7130
24	176	6890
25	178	6669
26	179	6464
27	180	6273
28	182	6100
29	183	5945
30	185	5787
31	186	5646
32	188	5511
33	189	5386
34	191	5267
35	192	5148
36	193	5042
37	195	4941
38	196	4847
39	198	4756
40	199	4674
41	201	4592
42	202	4510
43	204	4432
44	205	4359
45	206	4286
46	207	4217
47	209	4151
48	210	4087
49	211	4026
50	213	3967
51	214	3911
52	215	3856
53	217	3806
54	218	3758
55	220	3709
56	221	3665
57	222	3621
58	224	3578
59	225	3535
60	226	3493
61	228	3453
62	229	3415
63	231	3378
64	232	3342
65	234	3318
66	236	3287
67	237	3253
68	239	3236
69	241	3214
70	244	3196
71	246	3178
72	248	3161
73	250	3139
74	252	3115
75	254	3092
76	255	3066
77	257	3046
78	260	3034
79	261	3012
80	263	2992
81	265	2971
82	267	2952
83	268	2929
84	269	2902
85	271	2880
86	271	2853
87	273	2833
88	274	2813
89	276	2793
90	277	2776
91	279	2758
92	280	2739
93	282	2722
94	283	2702
95	285	2685
96	286	2666
97	287	2648
98	289	2631
99	290	2615
100	292	2601
101	293	2580
102	294	2565
103	296	2552
104	297	2537
105	299	2523
106	300	2510
107	302	2496
108	303	2482
109	305	2468
110	306	2455
111	307	2441
112	309	2428
113	310	2414
114	312	2403
115	314	2392
116	315	2383
117	318	2378
118	319	2367
119	321	2361
120	324	2356
121	326	2349
122	327	2335
123	329	2328
124	331	2319
125	333	2311
126	335	2305
127	337	2295
128	338	2288
129	340	2281
130	342	2274
131	344	2267
132	346	2259
133	348	2252
134	350	2245
135	352	2239
136	354	2233
137	355	2223
138	357	2216
139	359	2209
140	361	2202
141	363	2196
142	365	2188
143	367	2184
144	369	2179
145	371	2173
146	373	2166
147	375	2159
148	376	2152
149	378	2145
150	380	2138
151	382	2132
152	384	2126
153	386	2121
154	388	2116
155	389	2109
156	391	2102
157	393	2095
158	394	2088
159	396	2082
160	398	2076
161	400	2070
162	402	2064
163	404	2059
164	405	2053
165	407	2047
166	409	2042
167	411	2038
168	413	2032
169	414	2025
170	416	2021
171	418	2017
172	421	2015
173	423	2009
174	425	2004
175	426	1998
176	428	1992
177	430	1987
178	432	1982
179	433	1976
180	435	1968
181	436	1963
182	439	1960
183	441	1956
184	443	1951
185	445	1947
186	446	1942
187	448	1936
188	450	1932
189	452	1929
190	454	1925
191	456	1921
192	458	1917
193	460	1913
194	462	1908
195	464	1903
196	465	1898
197	467	1894
198	469	1890
199	471	1885
200	473	1881
201	474	1876
202	476	1871
203	478	1866
204	480	1864
205	482	1860
206	484	1855
207	486	1852
208	488	1847
209	489	1842
210	491	1838
211	493	1835
212	495	1832
213	497	1827
214	499	1823
215	501	1819
216	503	1816
217	505	1812
218	507	1808
219	508	1804
220	510	1800
221	512	1796
222	514	1792
223	516	1789
224	518	1785
225	520	1781
226	522	1777
227	523	1772
228	525	1768
229	527	1765
230	529	1762
231	531	1758
232	533	1754
233	534	1751
234	537	1748
235	538	1744
236	540	1740
237	542	1737
238	544	1734
239	546	1730
240	548	1726
241	550	1722
242	551	1719
243	553	1716
244	555	1712
245	557	1709
246	559	1706
247	561	1703
248	563	1699
249	565	1696
250	567	1692
251	569	1688
252	570	1685
253	572	1681
254	574	1678
255	576	1674
256	578	1671
257	579	1667
258	581	1664
259	584	1662
260	585	1658
261	587	1656
262	589	1652
263	591	1648
264	593	1644
265	595	1642
266	597	1639
267	598	1635
268	600	1631
269	602	1628
270	604	1624
271	605	1621
272	607	1618
273	609	1614
274	610	1610
275	612	1607
276	614	1604
277	616	1601
278	618	1599
279	620	1596
280	622	1592
281	624	1588
282	626	1586
283	628	1583
284	629	1580
285	631	1576
286	633	1573
287	634	1569
288	636	1566
289	639	1564
290	640	1561
291	642	1558
292	644	1556
293	646	1553
294	648	1550
295	650	1548
296	652	1545
297	654	1542
298	656	1539
299	658	1536
300	660	1534
301	662	1530
302	664	1527
303	667	1527
304	668	1524
305	670	1520
306	672	1517
307	673	1514
308	675	1511
309	677	1508
310	679	1505
311	681	1503
312	683	1500
313	685	1497
314	686	1493
315	688	1490
316	690	1488
317	692	1485
318	694	1482
319	696	1480
320	698	1478
321	700	1475
322	702	1472
323	705	1471
324	707	1469
325	709	1467
326	711	1464
327	713	1462
328	715	1459
329	717	1456
330	719	1454
331	721	1451
332	723	1448
333	725	1446
334	727	1443
335	729	1440
336	731	1439
337	733	1436
338	735	1433
339	737	1431
340	738	1428
341	740	1424
342	742	1422
343	744	1419
344	746	1417
345	748	1414
346	749	1411
347	751	1408
348	753	1406
349	755	1403
350	757	1400
351	759	1397
352	761	1394
353	762	1392
354	764	1389
355	766	1386
356	768	1383
357	770	1381
358	771	1378
359	773	1375
360	775	1372
361	776	1369
362	778	1365
363	780	1362
364	781	1360
365	783	1357
366	785	1354
367	786	1351
368	788	1348
369	790	1345
370	792	1343
371	794	1340
372	795	1337
373	797	1335
374	799	1332
375	801	1329
376	803	1327
377	805	1325
378	807	1322
379	808	1319
380	810	1317
381	812	1315
382	814	1312
383	816	1310
384	818	1307
385	820	1305
386	822	1303
387	824	1300
388	826	1297
389	827	1294
390	829	1291
391	831	1289
392	833	1287
393	835	1284
394	836	1281
395	838	1279
396	840	1276
397	842	1274
398	844	1271
399	845	1268
400	847	1266
401	849	1263
402	851	1261
403	853	1258
404	855	1256
405	857	1254
406	859	1251
407	860	1248
408	862	1246
409	864	1243
410	865	1240
411	867	1238
412	869	1235
413	870	1232
414	872	1230
415	874	1227
416	875	1224
417	877	1221
418	879	1219
419	880	1216
420	882	1213
421	884	1210
422	885	1208
423	887	1205
424	889	1203
425	891	1200
426	892	1198
427	894	1195
428	896	1192
429	897	1190
430	899	1187
431	901	1185
432	903	1182
433	904	1180
434	906	1177
435	908	1175
436	910	1172
437	911	1170
438	913	1167
439	915	1164
440	917	1162
441	918	1159
442	920	1157
443	922	1155
444	924	1153
445	926	1150
446	928	1148
447	929	1145
448	931	1143
449	933	1140
450	935	1138
451	936	1135
452	938	1133
453	940	1131
454	942	1128
455	943	1125
456	945	1123
457	946	1120
458	948	1118
459	950	1116
460	952	1113
461	954	1111
462	956	1108
463	957	1106
464	959	1103
465	961	1101
466	962	1099
467	964	1096
468	966	1093
469	967	1091
470	969	1088
471	970	1086
472	972	1083
473	974	1081
474	976	1078
475	977	1076
476	979	1073
477	980	1071
478	982	1068
479	984	1066
480	985	1063
481	987	1060
482	989	1058
483	990	1055
484	992	1053
485	993	1051
486	995	1048
487	996	1045
488	998	1043
489	999	1040
490	1001	1038
491	1003	1035
492	1004	1033
493	1006	1031
494	1008	1028
495	1010	1026
496	1011	1023
497	1013	1021
498	1015	1019
499	1017	1017
500	1019	1015
501	1020	1012
502	1022	1010
503	1024	1007
504	1026	1006
505	1028	1003
506	1029	1001
507	1031	998
508	1032	996
509	1034	993
510	1036	991
511	1037	989
512	1039	986
513	1041	984
514	1042	981
515	1043	979
516	1045	976
517	1047	974
518	1048	972
519	1050	969
520	1052	967
521	1054	965
522	1055	962
523	1057	960
524	1059	958
525	1060	955
526	1062	953
527	1064	951
528	1065	948
529	1067	946
530	1068	944
531	1070	941
532	1072	939
533	1074	937
534	1075	935
535	1077	933
536	1079	930
537	1081	928
538	1082	926
539	1084	923
540	1085	921
541	1087	918
542	1089	916
543	1090	914
544	1092	912
545	1094	910
546	1096	907
547	1097	905
548	1099	903
549	1100	900
550	1102	898
551	1104	896
552	1105	893
553	1107	891
554	1109	889
555	1111	887
556	1112	884
557	1114	882
558	1116	880
559	1117	878
560	1119	875
561	1120	873
562	1123	872
563	1125	870
564	1127	868
565	1129	866
566	1130	863
567	1132	861
568	1134	859
569	1136	857
570	1137	854
571	1139	852
572	1141	850
573	1142	847
574	1144	845
575	1145	843
576	1147	841
577	1149	839
578	1151	836
579	1152	834
580	1154	832
581	1155	829
582	1157	827
583	1159	825
584	1160	823
585	1162	821
586	1163	818
587	1165	816
588	1166	814
589	1168	812
590	1170	809
591	1171	807
592	1173	805
593	1175	803
594	1176	801
595	1178	798
596	1180	796
597	1182	794
598	1184	792
599	1185	790
600	1187	788
601	1189	786
602	1190	783
603	1192	781
604	1194	779
605	1195	777
606	1197	775
607	1199	773
608	1201	771
609	1202	768
610	1204	766
611	1206	764
612	1207	762
613	1209	760
614	1211	758
615	1213	756
616	1214	754
617	1216	752
618	1218	750
619	1220	747
620	1221	745
621	1223	743
622	1225	741
623	1226	739
624	1228	737
625	1230	734
626	1231	732
627	1233	730
628	1234	728
629	1236	726
630	1238	724
631	1240	722
632	1241	719
633	1243	717
634	1244	715
635	1246	713
636	1248	711
637	1249	709
638	1251	707
639	1253	704
640	1254	702
641	1256	700
642	1258	698
643	1260	696
644	1261	694
645	1263	692
646	1265	690
647	1266	688
648	1268	686
649	1270	683
650	1271	681
651	1273	679
652	1274	677
653	1276	675
654	1278	673
655	1279	671
656	1281	668
657	1283	666
658	1284	664
659	1286	662
660	1288	660
661	1289	658
662	1291	656
663	1293	654
664	1295	652
665	1297	650
666	1299	648
667	1300	646
668	1302	644
669	1304	642
670	1305	640
671	1307	638
672	1309	636
673	1311	634
674	1312	632
675	1314	630
676	1316	627
677	1317	625
678	1319	623
679	1321	621
680	1322	619
681	1324	617
682	1326	615
683	1328	613
684	1329	611
685	1331	609
686	1333	607
687	1335	605
688	1337	603
689	1339	601
690	1340	599
691	1342	597
692	1343	595
693	1345	593
694	1347	591
695	1349	589
696	1350	587
697	1352	585
698	1354	583
699	1355	581
700	1357	579
701	1359	577
702	1361	575
703	1362	573
704	1364	570
