iter	Passed	Remaining
0	156	156279
1	157	78669
2	158	52828
3	160	39862
4	161	32169
5	162	26974
6	163	23258
7	165	20490
8	166	18319
9	167	16594
10	168	15179
11	170	14034
12	171	13042
13	173	12192
14	174	11464
15	176	10843
16	177	10276
17	179	9769
18	180	9306
19	181	8904
20	183	8534
21	184	8199
22	185	7892
23	187	7605
24	188	7359
25	190	7126
26	191	6905
27	192	6698
28	194	6500
29	195	6315
30	196	6142
31	197	5981
32	198	5830
33	200	5685
34	201	5553
35	203	5449
36	204	5330
37	206	5221
38	207	5114
39	209	5016
40	210	4918
41	211	4832
42	212	4740
43	214	4654
44	215	4570
45	216	4496
46	218	4425
47	219	4350
48	220	4282
49	221	4215
50	223	4150
51	224	4088
52	225	4030
53	226	3974
54	228	3922
55	229	3873
56	231	3829
57	233	3786
58	234	3737
59	235	3690
60	236	3644
61	238	3601
62	239	3561
63	240	3521
64	242	3483
65	243	3447
66	245	3415
67	247	3385
68	248	3350
69	249	3314
70	250	3282
71	252	3249
72	253	3218
73	254	3185
74	255	3157
75	257	3128
76	258	3098
77	259	3072
78	261	3046
79	262	3021
80	263	2994
81	265	2966
82	265	2934
83	266	2909
84	267	2884
85	269	2860
86	270	2837
87	271	2813
88	272	2791
89	273	2769
90	275	2750
91	276	2731
92	277	2710
93	279	2694
94	280	2675
95	282	2656
96	283	2637
97	284	2618
98	285	2600
99	287	2584
100	288	2568
101	289	2552
102	291	2537
103	292	2519
104	293	2502
105	295	2488
106	296	2472
107	297	2456
108	298	2440
109	299	2425
110	301	2411
111	302	2397
112	303	2384
113	305	2370
114	306	2357
115	307	2344
116	308	2329
117	310	2317
118	311	2303
119	312	2291
120	313	2279
121	314	2266
122	316	2253
123	317	2244
124	319	2234
125	320	2222
126	321	2209
127	322	2199
128	324	2187
129	325	2178
130	326	2167
131	328	2157
132	329	2146
133	330	2136
134	332	2129
135	333	2120
136	334	2109
137	336	2099
138	337	2089
139	338	2079
140	339	2069
141	340	2056
142	341	2047
143	342	2038
144	344	2029
145	345	2021
146	347	2014
147	348	2005
148	349	1997
149	351	1989
150	352	1980
151	353	1971
152	354	1963
153	356	1958
154	357	1950
155	359	1943
156	360	1934
157	361	1928
158	363	1921
159	364	1914
160	365	1904
161	366	1896
162	367	1889
163	369	1882
164	370	1876
165	372	1870
166	373	1863
167	374	1857
168	376	1851
169	377	1844
170	379	1837
171	380	1830
172	381	1825
173	383	1818
174	384	1812
175	385	1805
176	386	1799
177	388	1792
178	389	1786
179	391	1781
180	392	1776
181	393	1770
182	395	1765
183	396	1759
184	397	1752
185	399	1747
186	400	1741
187	401	1735
188	402	1729
189	404	1723
190	406	1719
191	407	1714
192	408	1709
193	410	1704
194	411	1697
195	412	1692
196	413	1686
197	414	1680
198	416	1675
199	417	1670
200	419	1666
201	420	1663
202	422	1658
203	423	1653
204	425	1649
205	426	1643
206	427	1638
207	429	1633
208	430	1628
209	431	1624
210	433	1620
211	435	1617
212	436	1614
213	438	1610
214	439	1605
215	441	1600
216	442	1596
217	443	1591
218	445	1587
219	446	1584
220	449	1583
221	451	1580
222	452	1577
223	454	1573
224	456	1571
225	458	1568
226	460	1567
227	462	1566
228	465	1568
229	469	1572
230	471	1568
231	473	1566
232	481	1583
233	486	1593
234	491	1598
235	497	1610
236	500	1612
237	503	1613
238	512	1632
239	515	1632
240	518	1633
241	523	1639
242	528	1647
243	532	1650
244	536	1652
245	539	1654
246	542	1652
247	545	1654
248	547	1652
249	549	1649
250	552	1647
251	555	1649
252	558	1649
253	561	1650
254	565	1651
255	568	1651
256	570	1650
257	573	1648
258	575	1646
259	577	1645
260	579	1641
261	582	1641
262	585	1639
263	587	1637
264	589	1634
265	590	1630
266	592	1626
